Band Number,Mainland.or.Island,Retrap,Date,Wing,Tail,Tarsus,Weight,Ssp,,
2746622,Island,NA,19062023,64,49,20.1,14.5,Chlorocephalus,,
2746509,Island,NA,16062023,64,49,20.1,14.5,Chlorocephalus,,
2746599,Island,NA,18062023,63,49,20.1,14.5,Chlorocephalus,,
2746487,Island,NA,26062022,63,49,20.1,14.5,Chlorocephalus,,
2728267,Island,NA,25042022,62,49,20.1,14.5,Chlorocephalus,,
2746591,Island,NA,18062023,62,48,20.1,14.5,Chlorocephalus,,
02727954,Island,NA,8042019,63,51,20.1,14,Chlorocephalus,,
02585629,Island,NA,4042019,64.5,50,20.1,14,Chlorocephalus,,
2728279,Island,NA,25042022,63.5,50,20.1,14,Chlorocephalus,,
01A31584,Island,NA,10062012,65,49.5,20.1,14,Chlorocephalus,,
2746674,Island,NA,23062023,64,49,20.1,14,Chlorocephalus,,
02727847,Island,NA,42919,63,48,20.1,13.9,Chlorocephalus,,
02710220,Island,NA,26062016,66,47,20.1,13.9,Chlorocephalus,,
02728073,Island,NA,13042019,62.5,50.5,20.1,13.5,Chlorocephalus,,
02727982,Island,NA,9042019,65,50,20.1,13.5,Chlorocephalus,,
2772504,Island,NA,21062024,64,50,20.1,13.5,Chlorocephalus,,
2728133,Island,NA,21042022,64,49,20.1,13.5,Chlorocephalus,,
2728210,Island,NA,23042022,63,49,20.1,13.5,Chlorocephalus,,
2728196,Island,NA,23042022,63,47.5,20.1,13.5,Chlorocephalus,,
01A31583,Island,NA,10062012,61.5,47,20.1,13.5,Chlorocephalus,,
02656495,Island,NA,16062015,63,NA,20.1,12.5,Chlorocephalus,,
02585639,Island,NA,4042019,61,48,20.1,12.5,Chlorocephalus,,
02656425,Island,NA,12062015,67,52.5,20.1,11.5,Chlorocephalus,,
02672140,Island,NA,15062012,62.5,NA,20.1,10,Chlorocephalus,,
02656290,Island,NA,04042013,63.5,49,20.1,9,Chlorocephalus,,
02672118,Island,NA,14062012,63,47,20.08,11.5,Chlorocephalus,,
02672114,Island,NA,13062012,67.5,50,20.02,12.5,Chlorocephalus,,
2772562,Island,NA,23062024,62,47,20,18.4,Chlorocephalus,,
2746639,Island,NA,20062023,65,50,20,17,Chlorocephalus,,
2772604,Island,NA,24062024,66,51,20,16.9,Chlorocephalus,,
02656491,Island,NA,15062015,66,52,20,16.5,Chlorocephalus,,
2728086,Island,NA,43635,65,50,20,16.5,Chlorocephalus,,
2728089,Island,NA,43635,64,47,20,16.5,Chlorocephalus,,
2772621,Island,NA,24062024,64,48,20,15.6,Chlorocephalus,,
02710114,Island,NA,18062015,60.5,52,20,15.5,Chlorocephalus,,
02672153,Island,NA,15062012,63,47,20,15.5,Chlorocephalus,,
2772518,Island,NA,21062024,64,49,20,15.1,Chlorocephalus,,
2746663,Island,NA,22062023,64,50,20,15,Chlorocephalus,,
2728098,Island,NA,43636,66,49,20,15,Chlorocephalus,,
2746547,Island,NA,17062023,65,49,20,15,Chlorocephalus,,
02585678,Island,NA,5042019,64,49,20,15,Chlorocephalus,,
02700589,Island,NA,31032013,65,47,20,15,Chlorocephalus,,
02700588,Island,NA,31032013,64,47,20,15,Chlorocephalus,,
2728082,Island,NA,43634,62,47,20,15,Chlorocephalus,,
02727935,Island,NA,7042019,59.5,47,20,15,Chlorocephalus,,
02656447,Island,NA,13062015,65,51,20,14.5,Chlorocephalus,,
2728193,Island,NA,23042022,65,50,20,14.5,Chlorocephalus,,
2746664,Island,NA,22062023,63,49,20,14.5,Chlorocephalus,,
02641298,Island,NA,6042019,62,49,20,14.5,Chlorocephalus,,
02656277,Island,NA,03042013,62.5,47,20,14.5,Chlorocephalus,,
02727801,Island,NA,42909,65,46,20,14.5,Chlorocephalus,,
02710259,Island,NA,28062016,62,45,20,14.5,Chlorocephalus,,
02727970,Island,NA,9042019,65,51,20,14,Chlorocephalus,,
02727911,Island,NA,7042019,64.5,51,20,14,Chlorocephalus,,
02700665,Island,NA,23072014,65,50.5,20,14,Chlorocephalus,,
02656270,Island,NA,03042013,63.5,50.5,20,14,Chlorocephalus,,
02700667,Island,NA,23072014,65,48,20,14,Chlorocephalus,,
2746440,Island,NA,21062022,63,48,20,14,Chlorocephalus,,
2746512,Island,NA,16062023,62,48,20,14,Chlorocephalus,,
02700549,Island,NA,30032013,62.5,48,20,13.75,Chlorocephalus,,
02727945,Island,NA,8042019,62,50,20,13.5,Chlorocephalus,,
02727957,Island,NA,8042019,62.5,47,20,13.5,Chlorocephalus,,
02585616,Island,NA,4042019,65,50,20,13,Chlorocephalus,,
2728292,Island,NA,25042022,64,50,20,13,Chlorocephalus,,
2746435,Island,NA,21062022,63,50,20,13,Chlorocephalus,,
02656451,Island,NA,13062015,63.5,48,20,13,Chlorocephalus,,
