Chick ID ,band.n,nest,clutch.size,hatch.date,band.date,day,wing,tail,tarsus,post.cul.length,ant.cul.length,ant.cul.depth,ant.cul.width,digital weight,pin.length,feather.length,feather.total.length,feathered.ratio,Day of pin break ,Mainland or Island,,
R1,,16-32-2,,,,4,11.1,,10.9,,,,,4.8,,,,,,0,,
R2,,16-32-2,,,,4,6.8,,7.7,,,,,2.3,,,,,,0,,
L1,,16-32-2,,,,2,6.4,,8.3,,,,,3.7,,,,,,0,,
L2,,16-32-2,,,,2,5.7,,7.9,,,,,3,,,,,,0,,
R1,,16-32-2,,,,2,5.4,,7.6,,,,,3.1,,,,,,0,,
R2,,16-32-2,,,,2,4.5,,6.5,,,,,2.1,,,,,,0,,
L1,,16-35,,,,8,31.8,,17.4,,,,,11,,,,,,0,,
R1,,16-35,,,,8,28.2,,15.8,,,,,8.9,,,,,,0,,
L1,,16-35,,,,6,20.9,,14.5,,,,,8.2,,,,,,0,,
R1,,16-35,,,,6,18.4,,12.7,,,,,6.5,,,,,,0,,
L1,,16-35,,,,4,12,,10.7,,,,,6.2,,,,,,0,,
R1,,16-35,,,,4,10.9,,9.7,,,,,4.7,,,,,,0,,
L1,,16-35,,,,2,6.1,,8,,,,,3.3,,,,,,0,,
R1,,16-35,,,,2,5.6,,7.6,,,,,1.9,,,,,,0,,
L1,,16-37,,,,8,31,,17.4,,,,,10.5,,,,,,0,,
R1,,16-37,,,,8,33,,17.8,,,,,10.6,,,,,,0,,
R2,,16-37,,,,8,28.7,,16.8,,,,,9.3,,,,,,0,,
L1,,16-37,,,,6,21.5,,15,,,,,8.1,,,,,,0,,
R1,,16-37,,,,6,22.5,,15.6,,,,,7.9,,,,,,0,,
R2,,16-37,,,,6,19.2,,14,,,,,6.6,,,,,,0,,
L1,,16-37,,,,4,12,,11.2,,,,,5.8,,,,,,0,,
R1,,16-37,,,,4,13.7,,11.5,,,,,5.9,,,,,,0,,
R2,,16-37,,,,4,9.9,,9.9,,,,,4.6,,,,,,0,,
L1,,16-37,,,,2,5.4,,6.9,,,,,3,,,,,,0,,
R1,,16-37,,,,2,5.8,,8.1,,,,,3.4,,,,,,0,,
R2,,16-37,,,,2,4.9,,7,,,,,2.4,,,,,,0,,
L1,,16-38,,,,8,30.7,,18.3,,,,,11.1,,,,,,0,,
R1,,16-38,,,,8,33.9,,18.5,,,,,11.8,,,,,,0,,
L1,,16-38,,,,6,21.9,,14.8,,,,,8.4,,,,,,0,,
R1,,16-38,,,,6,25.2,,16.4,,,,,10.3,,,,,,0,,
L1,,16-38,,,,4,12.5,,11.3,,,,,5.2,,,,,,0,,
R1,,16-38,,,,4,15.4,,13,,,,,7.2,,,,,,0,,
L1,,16-38,,,,2,5.9,,7.8,,,,,NA,,,,,,0,,
R1,,16-38,,,,2,7.2,,9.1,,,,,3.9,,,,,,0,,
R1,,16-40,,,,8,35.3,,17.8,,,,,12.9,,,,,,0,,
R1,,16-40,,,,6,26.6,,15.6,,,,,10.7,,,,,,0,,
R1,,16-40,,,,4,16.2,,12.4,,,,,7,,,,,,0,,
R1,,16-40,,,,2,8.1,,8.8,,,,,4,,,,,,0,,
L1,,16-41,,,,8,29.8,,16.8,,,,,10.5,,,,,,0,,
R1,,16-41,,,,8,34.9,,17.9,,,,,10.6,,,,,,0,,
R2,,16-41,,,,8,33,,17.1,,,,,10.2,,,,,,0,,
L1,,16-41,,,,6,21,,14.2,,,,,7.7,,,,,,0,,
R1,,16-41,,,,6,26.5,,16.9,,,,,9.2,,,,,,0,,
R2,,16-41,,,,6,24,,15.4,,,,,8.5,,,,,,0,,
